-9,0,-9
3,0,3
39,0,初音未来
69,0,69式
!,0,!
!!,0,!!
!!?,0,!!?
!?,0,!?
(o)_(o),0,(o)_(o)
...,0,...
._.,0,._.
:<,0,:<
:>,0,:>
:>=,0,:>=
:3,0,ω猫嘴
:d,0,杯型笑脸
:i,0,:i
:o,0,:o
:p,0,向下吐舌头
:q,0,向上吐舌头
:t,0,不耐烦
:x,0,:x
;),0,;)
;3,0,;3
;d,0,;d
;o,0,;o
;p,0,;p
;q,0,;q
@_@,0,@_@
^_^,0,^_^
^o^,0,^o^
|_|,0,|_|
||_||,0,||_||
|d,0,|d
+_+,0,+_+
+++,0,+++
<o>_<o>,0,<o>_<o>
=_=,0,=_=
>:(,0,>:(
>:),0,>:)
>_<,0,>_<
>_o,0,>_o
>o<,0,>o<
0_0,0,0_0
1970s_(style),0,70年代风格
1980s_(style),0,80年代风格
1990s_(style),0,90年代风格
1boy,0,1个男性
1girl,0,1个女性
1koma,0,单格漫画
1other,0,1个非人类
2boys,0,2男孩
2girls,0,2女孩
2koma,0,双分镜漫画
2others,0,2个非人类
3:,0,3:
3boys,0,3男孩
3d,0,3D
3girls,0,3女孩
3koma,0,三格漫画
4boys,0,4个男性
4girls,0,4个女性
4koma,0,四格漫画
5boys,0,5个男性
5girls,0,5个女性
5koma,0,五格漫画
6+boys,0,6个以上的男性
6+girls,0,6个以上的女性
about_to_be_raped,0,将要被强暴
abs,0,腹肌
absolutely_everyone,0,大合影
abstract,0,抽象
abstract_background,0,抽象背景
absurdly_long_hair,0,超长的头发
absurdres,0,超高分辨率
abuse,0,虐待
acoustic_guitar,0,原声吉他
acrylic_paint_(medium),0,亚克力画风
adapted_costume,0,原设服装改编
adapted_uniform,0,改装制服
adjusting_clothes,0,拨弄衣服
adjusting_eyewear,0,扶眼镜
adjusting_gloves,0,拨弄手套
adjusting_hair,0,理头发
adjusting_hat,0,整理帽子
adjusting_headwear,0,整理头饰
adjusting_legwear,0,整理裤袜
adjusting_panties,0,拨内裤
adjusting_swimsuit,0,拨弄泳衣
adjusting_thighhigh,0,调整过膝袜
adorable_girl,0,可爱的女孩
aerial_fireworks,0,空中烟火
aestus_estus,0,原初之火(武器)
afloat,0,漂浮
afro,0,爆炸头
after_anal,0,肛交后
after_fellatio,0,口交后
after_kiss,0,接吻后
after_paizuri,0,乳交后
after_sex,0,事后
after_vaginal,0,事后阴道特写
afterglow,0,事后余韵
afterimage,0,残像
against_backlight_at_dusk,0,傍晚背对阳光
against_glass,0,压在玻璃上
against_wall,0,压在墙上
age_difference,0,年龄差
age_progression,0,年龄段展现
age_regression,0,幼化
ahegao,0,阿嘿颜
ahoge,0,呆毛
aiguillette,0,绶带
aiming,0,瞄准
aiming_at_viewer,0,瞄准了镜头(的视角)
ainu_clothes,0,阿伊努人的服饰
air_bubble,0,气泡
air_conditioner,0,空调
aircraft,0,飞行器
airplane,0,飞机
airship,0,飞艇
ajirogasa,0,笠帽
akanbe,0,拉下眼睑的鬼脸
akeome,0,新年伊始
alarm_clock,0,闹钟
albino,0,白化病
album,0,专辑
album_cover,0,专辑封面
alcohol,0,酒
alien,0,外星人
all_fours,0,四肢趴地
alley,0,小巷
alolan_form,0,阿罗拉形态(宝可梦)
alpha_signature,0,阿尔法签名(推特用)
alphes_(style),0,阿尔卑斯风格
alternate_breast_size,0,贫乳化
alternate_color,0,异色
alternate_costume,0,角色换装
alternate_eye_color,0,与原设不同瞳色
alternate_form,0,与原设不同形态变化
alternate_hair_color,0,与原设不同发色变化
alternate_hair_length,0,与原设不同头发长度变化
alternate_hairstyle,0,与原设不同发型变化
alternate_headwear,0,与原设不同头饰变化
alternate_legwear,0,与原设不同腿部穿着变化
alternate_skin_color,0,与原设不同肤色变化
alternate_weapon,0,与原设不同武器变化
alternate_wings,0,与原设不同翅膀
amazing,0,令人惊叹
ambiguous_gender,0,性别暧昧
america,0,美国
american_flag,0,星条旗
american_flag_bikini,0,星条旗比基尼
ammunition,0,弹药
ammunition_belt,0,弹药带
amplifier_(instrument),0,大音响
amputee,0,截肢
amulet,0,护身符
anal,0,爆菊
anal_beads,0,肛珠
anal_fingering,0,手爆菊
anal_fisting,0,拳爆菊
anal_hair,0,肛毛
anal_insertion,0,菊花插入物
anal_object_insertion,0,肛门物体插入
anal_tail,0,肛尾
anchor,0,锚
anchor_choker,0,锚形项圈
anchor_hair_ornament,0,锚形发饰
anchor_print,0,锚形印花
anchor_symbol,0,锚形符号
androgynous,0,可男可女
android,0,人造人
angel,0,天使
angel_and_devil,0,天使与恶魔
angel_wings,0,天使的翅膀
anger_vein,0,青筋
anglerfish,0,鮟鱇
angora_rabbit,0,安哥拉兔
angry,0,生气
anilingus,0,舔肛门
animal,0,动物
animal_costume,0,动物系装扮
animal_ear_fluff,0,动物耳绒毛
animal_ears,0,兽耳
animal_focus,0,以动物为焦点
animal_hat,0,动物主题帽饰
animal_hood,0,兽耳头罩
animal_hug,0,抱着动物
animal_on_head,0,头上有动物
animal_on_lap,0,膝盖上有动物
animal_on_shoulder,0,肩上有动物
animal_print,0,动物印花
animalization,0,动物化
animated_gif,0,gif格式图片
anime_coloring,0,动画上色
ankh,0,安库(假面骑士OOO)
ankle_boots,0,踝靴
ankle_lace-up,0,腿部系带
ankle_ribbon,0,踝带
ankle_socks,0,踝袜
ankle_strap,0,脚踝丝环
ankle_wrap,0,脚踝套
anklet,0,脚镯
anniversary,0,纪念日
announcement_celebration,0,贺图
annoyed,0,恼怒的
antenna_hair,0,多根呆毛
antennae,0,触角
anti-materiel_rifle,0,反器材步枪
antique_firearm,0,旧式火器
antlers,0,鹿角
anus,0,菊花
anus_peek,0,吸睛的肛门
anzio_military_uniform,0,安齐奥军服
anzio_school_uniform,0,安齐奥校服
apple,0,苹果
applying_makeup,0,化妆
april_fools,0,愚人节
apron,0,围裙
aqua_background,0,水蓝色背景
aqua_bow,0,水蓝色蝴蝶结
aqua_dress,0,水蓝色连衣裙
aqua_eyes,0,水蓝色眼睛
aqua_hair,0,水蓝色头发
aqua_legwear,0,水蓝色的裤袜
aqua_nails,0,水蓝色指甲
aqua_neckwear,0,水蓝色领结
aqua_panties,0,水蓝色内裤
aqua_ribbon,0,水蓝色丝带
aqua_shirt,0,水蓝色衬衫
aqua_skirt,0,水蓝色短裙
aqua_theme,0,水蓝色
aquarium,0,水族馆
ar-15,0,AR-15
arabian_clothes,0,阿拉伯服饰
arachne,0,蜘蛛属性
araki_hirohiko_(style),0,荒木飞吕彦风
aran_sweater,0,爱尔兰毛衣
arched_back,0,拱背
archery,0,射箭
architecture,0,建筑
areola_slip,0,乳晕走光
areolae,0,乳晕
argyle,0,菱形花纹
argyle_background,0,菱形背景
argyle_legwear,0,含菱形花纹的裤子
aria_company_uniform,0,亚利亚公司制服
arm_around_neck,0,单手搂着脖子
arm_around_waist,0,单手搂腰
arm_at_side,0,单手垂放
arm_behind_back,0,单手背到身后
arm_behind_head,0,单手托在脑后
arm_belt,0,臂环
arm_blade,0,手臂刀刃
arm_cannon,0,手炮
arm_garter,0,手臂袜带
arm_grab,0,抓住手臂
arm_guards,0,护臂
arm_held_back,0,手臂往后拉
arm_hug,0,挽手
arm_ribbon,0,手臂丝带
arm_strap,0,臂带
arm_support,0,用手支撑住
arm_tattoo,0,手臂有纹身
arm_under_breasts,0,托胸
arm_up,0,举着手
arm_warmers,0,暖袖
arm_wrap,0,袖套
armband,0,臂章
armchair,0,扶手椅
armlet,0,臂环
armor,0,盔甲
armored_boots,0,装甲靴
armored_dress,0,战甲裙
armpit_crease,0,腋窝皱褶
armpit_cutout,0,衣服有能露出腋下的开口
armpit_hair,0,腋毛
armpit_peek,0,吸睛的腋窝
armpits,0,腋下
arms_around_neck,0,双手搂着脖子
arms_at_sides,0,双手垂放
arms_behind_back,0,手放后面
arms_behind_head,0,手放脑后
arms_crossed,0,手交叉于胸前
arms_under_breasts,0,双手托胸
arms_up,0,举起手
army,0,军队
arrancar,0,破面(死神系列)
arrow_(projectile),0,箭矢
arrow_(symbol),0,箭头
art_brush,0,画笔
art_nouveau,0,新艺术
artbook,5,美术集
artificial_vagina,0,飞机杯
artist_name,0,作者署名
artist_self-insert,0,以作者本人为蓝本
asa_no_ha_(pattern),0,麻叶纹
ascot,0,阿斯科特领巾
ashford_academy_uniform,0,阿什福特学院制服
asian,0,亚洲人
asphyxiation,0,窒息
ass,0,屁股
ass_cutout,0,露出屁股的服饰
ass_focus,0,屁股为焦点
ass_grab,0,抓着屁股
ass_shake,0,晃屁股
ass_support,0,托着屁股
ass_visible_through_thighs,0,透过大腿可见屁股
assault_rifle,0,突击步枪
assisted_exposure,0,剥开衣服
ass-to-ass,0,屁股贴屁股
asymmetrical_bangs,0,不对称的刘海
asymmetrical_clothes,0,不对称的服饰
asymmetrical_docking,0,胸顶着胸
asymmetrical_gloves,0,不对称的手套
asymmetrical_hair,0,不对称的发型
asymmetrical_horns,0,不对称的角
asymmetrical_legwear,0,不对称的裤子
asymmetrical_sleeves,0,不对称的袖子
asymmetrical_wings,0,不对称的翅膀
athletic_leotard,0,体操服
attack,0,攻击
audible_music,5,有音乐
audible_speech,5,有人声
audience,0,观众
aura,0,灵气
autobot,0,汽车人
autumn,0,秋天
autumn_leaves,0,秋叶
axe,0,斧头
baby,0,宝宝
babydoll,0,性感女性睡衣
back,0,后背
back_bow,0,(服饰)打在背后的结
back_cutout,0,露出部分后背的衣服
back_tattoo,0,背部纹身
backboob,0,从背后可看到的胸部
background_text,0,背景文字
backless_dress,0,露背连衣裙
backless_outfit,0,露背装
backlighting,0,逆光
backpack,0,背包
backpack_removed,0,卸下的包
back-print_panties,0,背面印花的内裤
back-seamed_legwear,0,袜缝
back-to-back,0,背靠背
backwards_hat,0,反扣的帽子
bad_anatomy,0,错误的人体结构
bad_end,0,坏结局
bad_feet,0,脚的画法错误
bad_hands,0,手的画法错误
bad_id,0,ID转向错误(原地址或已被删除)
bad_perspective,0,错误的(画法)透视
bad_proportions,0,人体比例不协调
badge,0,徽章
bag,0,包
bag_charm,0,背包挂件
bagged_fish,0,金鱼水袋
bags_under_eyes,0,眼袋
baguette,0,法国面包
balancing,0,(保持)平衡的姿势
bald,0,秃头
ball,0,球
ball_gag,0,口球
ballerina,0,芭蕾舞女演员
ballet_slippers,0,芭蕾舞鞋
ballgag,0,球塞
balloon,0,气球
ballpoint_pen_(medium),0,圆珠笔
bamboo,0,竹子
bamboo_broom,0,竹扫帚
bamboo_forest,0,竹林
bamboo_steamer,0,蒸笼
banana,0,香蕉
band_uniform,0,乐队制服
bandage_on_face,0,贴有绷带的脸
bandage_over_one_eye,0,缠着绷带的单眼
bandaged_arm,0,缠着绷带的手臂
bandaged_hands,0,缠着绷带的手
bandaged_head,0,绑着绷带的头
bandaged_leg,0,绑着绷带的腿
bandages,0,绷带
bandaid,0,创可贴
bandaid_hair_ornament,0,创可贴
bandaid_on_arm,0,手臂上贴着创可贴
bandaid_on_face,0,脸上贴着创可贴
bandaid_on_forehead,0,额头贴着创可贴
bandaid_on_knee,0,膝盖贴着创可贴
bandaid_on_leg,0,腿上贴着创可贴
bandaid_on_nose,0,鼻梁上贴着创可贴
bandaid_on_pussy,0,阴部贴着创可贴
bandaids_on_nipples,0,乳头贴着创可贴
bandana,0,头巾
bandeau,0,抹胸比基尼
bandolier,0,子弹带
bangle,0,手镯
bangs,0,刘海
bangs_pinned_back,0,掀起的刘海
baozi,0,包子
bar,0,酒吧
bar_censor,0,黑条打码
bara,0,大叔
barcode,0,条形码
barcode_tattoo,0,条形码纹身
bare_arms,0,裸臂
bare_back,0,裸背
bare_hips,0,裸臀
bare_legs,0,裸腿
bare_shoulders,0,露肩
bare_tree,0,枯木
barefoot,0,裸足
barefoot_sandals,0,裸足凉鞋
barrel,0,桶子
bartender,0,酒保
baseball,0,棒球
baseball_bat,0,棒球棍
baseball_cap,0,棒球帽
baseball_mitt,0,棒球手套
baseball_uniform,0,棒球服
basket,0,篮子
basketball,0,篮球
bass_clef,0,低音符
bass_guitar,0,贝斯
bat,1,蝙蝠
bat_ears,0,蝙蝠耳朵
bat_hair_ornament,0,蝙蝠发饰
bat_print,0,蝙蝠印花
bat_wings,0,蝙蝠翅膀
bath,0,洗澡
bath_stool,0,浴凳
bath_yukata,0,浴衣
bathing,0,入浴
bathroom,0,浴室
bathtub,0,浴缸
baton,0,指挥棒
battle,0,战斗
battle_axe,0,战斧
battle_rifle,0,战术步枪
battleship,0,战舰
bayonet,0,刺刀
bc_freedom_military_uniform,0,BC自由学园制服
bdsm,0,SM
beach,0,海滩
beach_chair,0,沙滩椅
beach_towel,0,沙滩巾
beach_umbrella,0,沙滩伞
beachball,0,沙滩球
bead_bracelet,0,珠子手链
bead_necklace,0,珠子项链
